Sumber,Target
Tractor,John Deere
Tractor,CNH Industial 
Tractor,Kubota Cooperation
Tractor,Horsch Maschinen GmbH
Tractor,AGCO Cooperation
Tractor,Arbos
Tractor,Case IH
Tractor,Kinze Manufacturing
Tractor,New Holland
Tractor,Deutz Fahr
Tractor,POTTINGER Landtechnik GmbH
Tractor,Dewulf Group
Tractor,Kverneland Group
Tractor,KUHN Group
Harvester,John Deere
Harvester,CNH Industial 
Harvester,Deutz Fahr
Harvester,New Holland
Harvester,AGCO Cooperation
Harvester,POTTINGER Landtechnik GmbH
Harvester,Dewulf Group
Harvester,Kverneland Group
Sprayer,John Deere
Sprayer,CNH Industial 
Sprayer,Kubota Cooperation
Sprayer,KUHN Group
Sprayer,Horsch Maschinen GmbH
Sprayer,POTTINGER Landtechnik GmbH
Sprayer,Dewulf Group
Sprayer,New Holland
Planter,Horsch Maschinen GmbH
Planter,POTTINGER Landtechnik GmbH
Planter,Kverneland Group
Planter,Dewulf Group
Planter,Arbos
Planter,John Deere
Planter,CNH Industial 
Planter,Kubota cooperation
Planter,New Holland
Planter,KUHN Group
Planter,AGCO Cooperation
Planter,Kinze Manufacturing
Planter,Case IH
harrows,john Deere
harrows,CNH Industial 
harrows,Kubota cooperation
harrows,New Holland
harrows,Horsch Maschinen GmbH
harrows,PÖTTINGER Landtechnik GmbH
harrows,Dewulf Group
