Source,Target
 Perkebunan,Kelapa Sawit
 Perkebunan,Karet
 Perkebunan,Kopi
 Perkebunan,Lada
 Perkebunan,Kakao
 Perkebunan,Aren
 Perkebunan,Teh
 Perkebunan,Kina
 Perkebunan,Kapuk
 Perkebunan,Tembakau 
 Perkebunan,Sagu
 Perkebunan,Nilam
 Perkebunan,Tebu
 Perkebunan,Pala
 Perkebunan,Kemiri
 Perkebunan,Cengkeh
 Perkebunan,Tebu 
 Perkebunan,Kelapa 
 Perkebunan,Tembakau
Florikultura,Anggrek
Florikultura,Krisan
Florikultura,Mawar 
Florikultura,Melati
Florikultura,Anyelir
Biofarmaka,Jahe
Biofarmaka,Lengkuas
Biofarmaka,Kunyit
Biofarmaka,Kencur
Biofarmaka,Temulawak
Frutikultura,Duku
 Olerikultura,Jambu siam
 Olerikultura,Jeruk Keprok
 Olerikultura,Mangga
 Olerikultura,Manggis 
 Olerikultura,Pepaya
 Olerikultura,Pisang
 Olerikultura,Rambutan
 Olerikultura,Sawo 
 Olerikultura,Markisa
 Olerikultura,Kangkung
 Olerikultura,Bayam
 Olerikultura,Tomat
 Olerikultura,Cabai
 Olerikultura,Sawi
 Olerikultura,Wortel
 Pangan,Padi
 Pangan,Jagung
 Pangan,Sorgum
 Pangan,Kedelai
 Pangan,Gandum
 Pangan,Kentang
 Pangan,Talas
 Pangan,Ubi Jalar
 Pangan,Quinoa
 Pangan,Oats
 Pangan,Teff
 Pangan,Barley
 Pangan,Fonio
 Pangan,Millet
 Pangan,Chia
